CMDLINE C:\Python39\python.exe main.py
MEM 89.277344 1671224831.5714
MEM 88.199219 1671224831.6831
MEM 88.199219 1671224831.7948
MEM 88.199219 1671224831.9065
MEM 88.199219 1671224832.0169
MEM 88.199219 1671224832.1361
MEM 88.199219 1671224832.2389
MEM 88.199219 1671224832.3506
MEM 88.199219 1671224832.4613
MEM 88.203125 1671224832.5720
MEM 88.203125 1671224832.6832
MEM 88.203125 1671224832.7929
MEM 88.203125 1671224832.9036
MEM 88.203125 1671224833.0153
MEM 88.203125 1671224833.1261
MEM 88.203125 1671224833.2378
MEM 88.203125 1671224833.3495
MEM 88.203125 1671224833.4601
MEM 88.203125 1671224833.5718
MEM 88.203125 1671224833.6826
MEM 88.203125 1671224833.7933
MEM 88.203125 1671224833.9037
MEM 88.203125 1671224834.0125
MEM 88.203125 1671224834.1247
MEM 88.203125 1671224834.2349
MEM 88.203125 1671224834.3457
MEM 88.203125 1671224834.4573
MEM 88.203125 1671224834.5680
MEM 88.203125 1671224834.6787
MEM 88.203125 1671224834.7904
MEM 88.203125 1671224834.9021
MEM 88.203125 1671224835.0128
MEM 88.203125 1671224835.1231
MEM 88.203125 1671224835.2348
MEM 88.203125 1671224835.3447
MEM 88.203125 1671224835.4534
MEM 88.203125 1671224835.5641
MEM 88.203125 1671224835.6748
MEM 88.203125 1671224835.7865
MEM 88.203125 1671224835.8957
MEM 88.203125 1671224836.0072
MEM 88.203125 1671224836.1189
MEM 88.203125 1671224836.2306
MEM 88.203125 1671224836.3422
MEM 88.203125 1671224836.4539
MEM 88.203125 1671224836.5656
MEM 88.203125 1671224836.6763
MEM 88.203125 1671224836.7880
MEM 88.203125 1671224836.8997
MEM 88.203125 1671224837.0090
MEM 88.203125 1671224837.1187
MEM 88.203125 1671224837.2284
MEM 88.203125 1671224837.3386
MEM 88.203125 1671224837.4503
MEM 88.203125 1671224837.5590
MEM 88.203125 1671224837.6707
MEM 88.203125 1671224837.7824
MEM 88.203125 1671224837.8931
MEM 88.203125 1671224838.0048
MEM 88.203125 1671224838.1165
MEM 88.203125 1671224838.2272
MEM 88.203125 1671224838.3389
MEM 88.203125 1671224838.4482
MEM 88.203125 1671224838.5589
MEM 88.203125 1671224838.6696
MEM 88.203125 1671224838.7813
MEM 88.203125 1671224838.8893
MEM 88.203125 1671224839.0000
MEM 88.203125 1671224839.1108
MEM 88.203125 1671224839.2215
MEM 88.203125 1671224839.3312
MEM 88.203125 1671224839.4419
MEM 88.203125 1671224839.5536
MEM 88.203125 1671224839.6646
MEM 88.203125 1671224839.7753
MEM 88.203125 1671224839.8870
MEM 88.203125 1671224839.9987
MEM 88.203125 1671224840.1091
MEM 88.203125 1671224840.2208
MEM 88.203125 1671224840.3325
MEM 88.203125 1671224840.4432
MEM 88.203125 1671224840.5549
MEM 88.203125 1671224840.6628
MEM 88.203125 1671224840.7735
MEM 88.203125 1671224840.8842
MEM 88.203125 1671224840.9950
MEM 88.203125 1671224841.1056
MEM 88.203125 1671224841.2163
MEM 88.203125 1671224841.3270
MEM 88.203125 1671224841.4387
MEM 88.203125 1671224841.5490
MEM 88.203125 1671224841.6583
MEM 88.203125 1671224841.7697
MEM 88.203125 1671224841.8790
MEM 88.203125 1671224841.9907
MEM 88.203125 1671224842.1014
MEM 88.203125 1671224842.2121
MEM 88.203125 1671224842.3208
MEM 88.203125 1671224842.4311
MEM 88.203125 1671224842.5417
MEM 88.203125 1671224842.6535
MEM 88.203125 1671224842.7652
MEM 88.203125 1671224842.8749
MEM 88.203125 1671224842.9866
MEM 88.203125 1671224843.0982
MEM 88.203125 1671224843.2083
MEM 88.203125 1671224843.3200
MEM 88.203125 1671224843.4288
MEM 88.203125 1671224843.5378
MEM 88.203125 1671224843.6488
MEM 88.203125 1671224843.7591
MEM 88.203125 1671224843.8708
MEM 88.203125 1671224843.9822
MEM 88.203125 1671224844.0914
MEM 88.203125 1671224844.2031
MEM 88.203125 1671224844.3148
MEM 88.207031 1671224844.4255
MEM 88.207031 1671224844.5372
MEM 88.207031 1671224844.6489
MEM 88.207031 1671224844.7606
MEM 88.207031 1671224844.8723
MEM 88.207031 1671224844.9840
MEM 88.207031 1671224845.0942
MEM 88.207031 1671224845.2039
MEM 88.207031 1671224845.3126
MEM 88.207031 1671224845.4263
MEM 88.207031 1671224845.5350
MEM 88.207031 1671224845.6457
MEM 88.207031 1671224845.7555
MEM 88.207031 1671224845.8652
MEM 88.207031 1671224845.9749
MEM 88.207031 1671224846.0866
MEM 88.207031 1671224846.1983
MEM 88.207031 1671224846.3090
MEM 88.207031 1671224846.4207
MEM 88.207031 1671224846.5324
MEM 88.207031 1671224846.6441
MEM 88.207031 1671224846.7538
MEM 88.207031 1671224846.8647
MEM 88.207031 1671224846.9764
MEM 88.207031 1671224847.0858
MEM 88.207031 1671224847.1971
MEM 88.207031 1671224847.3064
MEM 88.207031 1671224847.4176
MEM 88.207031 1671224847.5273
MEM 88.207031 1671224847.6390
MEM 88.207031 1671224847.7507
MEM 88.207031 1671224847.8614
MEM 88.207031 1671224847.9731
MEM 88.207031 1671224848.0838
MEM 88.207031 1671224848.1945
MEM 88.207031 1671224848.3062
MEM 88.207031 1671224848.4169
MEM 88.207031 1671224848.5276
MEM 88.207031 1671224848.6383
MEM 88.207031 1671224848.7500
MEM 88.207031 1671224848.8602
MEM 88.207031 1671224848.9704
MEM 88.207031 1671224849.0821
MEM 88.207031 1671224849.1909
MEM 88.207031 1671224849.3009
MEM 88.207031 1671224849.4107
MEM 88.207031 1671224849.5224
MEM 88.207031 1671224849.6341
MEM 88.207031 1671224849.7448
MEM 88.207031 1671224849.8558
MEM 88.207031 1671224849.9675
MEM 88.207031 1671224850.0768
MEM 88.207031 1671224850.1869
MEM 88.207031 1671224850.2986
MEM 88.207031 1671224850.4077
MEM 88.207031 1671224850.5194
MEM 88.207031 1671224850.6291
MEM 88.207031 1671224850.7408
MEM 88.207031 1671224850.8519
MEM 88.207031 1671224850.9623
MEM 88.207031 1671224851.0740
MEM 88.207031 1671224851.1857
MEM 88.207031 1671224851.2964
MEM 88.207031 1671224851.4053
MEM 88.207031 1671224851.5170
MEM 88.207031 1671224851.6277
MEM 88.207031 1671224851.7393
MEM 88.207031 1671224851.8510
MEM 88.207031 1671224851.9617
MEM 88.207031 1671224852.0727
MEM 88.207031 1671224852.1844
MEM 88.207031 1671224852.2951
MEM 88.207031 1671224852.4046
MEM 88.207031 1671224852.5164
MEM 88.207031 1671224852.6270
MEM 88.207031 1671224852.7388
MEM 88.207031 1671224852.8506
MEM 88.207031 1671224852.9623
MEM 88.207031 1671224853.0740
MEM 88.207031 1671224853.1857
MEM 88.207031 1671224853.2974
MEM 88.207031 1671224853.4071
MEM 88.207031 1671224853.5183
MEM 88.207031 1671224853.6280
MEM 88.207031 1671224853.7397
MEM 88.207031 1671224853.8514
MEM 88.207031 1671224853.9615
MEM 88.207031 1671224854.0724
MEM 88.207031 1671224854.1834
MEM 88.207031 1671224854.2936
MEM 88.207031 1671224854.4053
MEM 88.207031 1671224854.5170
MEM 88.207031 1671224854.6277
MEM 88.207031 1671224854.7386
MEM 88.207031 1671224854.8503
MEM 88.207031 1671224854.9610
MEM 88.222656 1671224855.0727
MEM 88.222656 1671224855.1844
MEM 88.207031 1671224855.2951
MEM 88.207031 1671224855.4062
MEM 88.207031 1671224855.5159
MEM 88.207031 1671224855.6266
MEM 88.207031 1671224855.7387
MEM 88.207031 1671224855.8497
MEM 88.207031 1671224855.9598
MEM 88.207031 1671224856.0700
MEM 88.207031 1671224856.1817
MEM 88.207031 1671224856.2924
MEM 88.207031 1671224856.4031
MEM 88.207031 1671224856.5148
MEM 88.207031 1671224856.6265
MEM 88.207031 1671224856.7382
MEM 88.207031 1671224856.8499
MEM 88.207031 1671224856.9602
MEM 88.207031 1671224857.0719
MEM 88.207031 1671224857.1836
MEM 88.207031 1671224857.2943
MEM 88.207031 1671224857.4047
MEM 88.207031 1671224857.5156
MEM 88.207031 1671224857.6272
MEM 88.207031 1671224857.7389
MEM 88.207031 1671224857.8506
MEM 88.207031 1671224857.9613
MEM 88.207031 1671224858.0730
MEM 88.207031 1671224858.1847
MEM 88.207031 1671224858.2954
MEM 88.207031 1671224858.4057
MEM 88.207031 1671224858.5148
MEM 88.207031 1671224858.6251
MEM 88.207031 1671224858.7368
MEM 88.207031 1671224858.8485
MEM 88.207031 1671224858.9577
MEM 88.207031 1671224859.0679
MEM 88.207031 1671224859.1770
MEM 88.207031 1671224859.2888
MEM 88.207031 1671224859.4005
MEM 88.207031 1671224859.5112
