CMDLINE C:\Python39\python.exe main_noplayer.py
MEM 135.968750 1671323149.4945
MEM 135.968750 1671323149.5982
MEM 135.968750 1671323149.7069
MEM 135.968750 1671323149.8152
MEM 135.968750 1671323149.9239
MEM 135.968750 1671323150.0336
MEM 135.968750 1671323150.1438
MEM 135.968750 1671323150.2585
MEM 135.968750 1671323150.3662
MEM 135.968750 1671323150.4749
MEM 135.968750 1671323150.5876
MEM 135.980469 1671323150.6924
MEM 135.980469 1671323150.8041
MEM 135.980469 1671323150.9138
MEM 135.980469 1671323151.0230
MEM 135.980469 1671323151.1402
MEM 135.980469 1671323151.2549
MEM 135.980469 1671323151.3616
MEM 135.980469 1671323151.4680
MEM 135.980469 1671323151.5783
MEM 135.980469 1671323151.6900
MEM 135.980469 1671323151.8007
MEM 135.980469 1671323151.9114
MEM 135.980469 1671323152.0211
MEM 135.980469 1671323152.1344
MEM 135.980469 1671323152.2411
MEM 135.980469 1671323152.3518
MEM 135.980469 1671323152.4625
MEM 135.980469 1671323152.5732
MEM 135.980469 1671323152.6840
MEM 135.980469 1671323152.7957
MEM 135.980469 1671323152.9044
MEM 135.980469 1671323153.0151
MEM 135.980469 1671323153.1243
MEM 135.980469 1671323153.2346
MEM 135.980469 1671323153.3443
MEM 135.980469 1671323153.4540
MEM 135.980469 1671323153.5657
MEM 135.980469 1671323153.6774
MEM 135.980469 1671323153.7851
MEM 135.980469 1671323153.8948
MEM 135.980469 1671323154.0045
MEM 135.980469 1671323154.1152
MEM 135.980469 1671323154.2269
MEM 135.980469 1671323154.3366
MEM 135.980469 1671323154.4473
MEM 135.980469 1671323154.5555
MEM 135.980469 1671323154.6627
MEM 135.980469 1671323154.7740
MEM 135.980469 1671323154.8829
MEM 135.980469 1671323154.9936
MEM 135.980469 1671323155.1013
MEM 135.980469 1671323155.2130
MEM 135.980469 1671323155.3227
MEM 135.980469 1671323155.4334
MEM 135.980469 1671323155.5441
MEM 135.980469 1671323155.6548
MEM 135.980469 1671323155.7655
MEM 135.980469 1671323155.8758
MEM 135.980469 1671323155.9830
MEM 135.980469 1671323156.0939
MEM 135.980469 1671323156.2032
MEM 135.980469 1671323156.3119
MEM 135.980469 1671323156.4226
MEM 135.980469 1671323156.5337
MEM 135.980469 1671323156.6409
MEM 135.980469 1671323156.7524
MEM 135.980469 1671323156.8606
MEM 135.980469 1671323156.9684
MEM 135.980469 1671323157.0791
MEM 135.980469 1671323157.1908
MEM 135.980469 1671323157.3005
MEM 135.980469 1671323157.4122
MEM 135.980469 1671323157.5219
MEM 135.980469 1671323157.6326
MEM 135.980469 1671323157.7413
MEM 135.980469 1671323157.8520
MEM 135.980469 1671323157.9625
MEM 135.980469 1671323158.0742
MEM 135.980469 1671323158.1859
MEM 135.980469 1671323158.2956
MEM 135.996094 1671323158.4043
MEM 135.996094 1671323158.5150
MEM 135.980469 1671323158.6237
MEM 135.980469 1671323158.7325
MEM 135.980469 1671323158.8435
MEM 135.980469 1671323158.9531
MEM 135.980469 1671323159.0618
MEM 135.980469 1671323159.1705
MEM 135.980469 1671323159.2782
MEM 135.980469 1671323159.3879
MEM 135.980469 1671323159.4962
MEM 135.980469 1671323159.6069
MEM 135.980469 1671323159.7152
MEM 135.980469 1671323159.8249
MEM 135.980469 1671323159.9346
MEM 135.980469 1671323160.0433
MEM 135.980469 1671323160.1540
MEM 135.980469 1671323160.2647
MEM 135.980469 1671323160.3744
MEM 135.980469 1671323160.4842
MEM 135.980469 1671323160.5939
MEM 135.980469 1671323160.7006
MEM 135.984375 1671323160.8083
MEM 135.984375 1671323160.9152
MEM 135.984375 1671323161.0250
MEM 135.984375 1671323161.1357
MEM 135.984375 1671323161.2429
MEM 135.984375 1671323161.3527
MEM 135.984375 1671323161.4626
MEM 135.984375 1671323161.5723
MEM 135.984375 1671323161.6810
MEM 135.984375 1671323161.7897
MEM 135.984375 1671323161.8994
MEM 135.984375 1671323162.0081
MEM 135.984375 1671323162.1188
MEM 135.984375 1671323162.2305
MEM 135.984375 1671323162.3662
MEM 135.984375 1671323162.4809
MEM 135.984375 1671323162.5902
MEM 135.984375 1671323162.7019
MEM 135.984375 1671323162.8116
MEM 135.984375 1671323162.9233
MEM 135.984375 1671323163.0350
MEM 135.984375 1671323163.1457
MEM 135.984375 1671323163.2544
MEM 135.984375 1671323163.3661
MEM 135.984375 1671323163.4758
MEM 135.984375 1671323163.5875
MEM 135.984375 1671323163.6992
MEM 135.984375 1671323163.8049
MEM 135.984375 1671323163.9156
MEM 135.984375 1671323164.0233
MEM 135.984375 1671323164.1340
MEM 135.984375 1671323164.2438
MEM 135.984375 1671323164.3555
MEM 135.984375 1671323164.4652
MEM 135.984375 1671323164.5749
MEM 135.984375 1671323164.6856
MEM 135.984375 1671323164.7963
MEM 135.984375 1671323164.9080
MEM 135.984375 1671323165.0197
MEM 135.984375 1671323165.1284
MEM 135.984375 1671323165.2376
MEM 135.984375 1671323165.3484
MEM 135.984375 1671323165.4620
MEM 135.984375 1671323165.5698
MEM 135.984375 1671323165.6795
MEM 135.984375 1671323165.7856
MEM 135.984375 1671323165.8953
MEM 135.984375 1671323166.0040
MEM 135.984375 1671323166.1147
MEM 135.984375 1671323166.2264
MEM 135.984375 1671323166.3361
MEM 135.984375 1671323166.4418
MEM 135.984375 1671323166.5485
MEM 135.984375 1671323166.6572
MEM 135.984375 1671323166.7669
MEM 135.984375 1671323166.8771
MEM 135.984375 1671323166.9858
MEM 135.984375 1671323167.0975
MEM 135.984375 1671323167.2092
MEM 135.984375 1671323167.3174
MEM 135.984375 1671323167.4281
MEM 135.984375 1671323167.5398
MEM 135.984375 1671323167.6485
MEM 135.984375 1671323167.7592
MEM 136.003906 1671323167.8679
MEM 136.003906 1671323167.9786
MEM 136.003906 1671323168.0893
MEM 136.003906 1671323168.1990
MEM 136.003906 1671323168.3080
MEM 136.003906 1671323168.4172
MEM 136.003906 1671323168.5272
MEM 136.003906 1671323168.6339
MEM 136.003906 1671323168.7429
MEM 136.003906 1671323168.8526
MEM 136.003906 1671323168.9622
MEM 136.003906 1671323169.0709
